target,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
y1,0.6907917477756912,1.7756399738192397,0.5462212121211419,1.3247958333332597,0.937674155645863,0.6553583448108551
y2,0.1511107486533602,0.5149288959949276,0.11911666666664558,0.40552083333329847,0.9453354150059551,0.5791994878209414
y3,0.029033086377745723,0.07759152892623666,0.021457359307361076,0.05786166666666637,0.9545378412133676,0.7579696133182838
y4,0.0016204771890858053,0.004108028200298417,0.0012908225108228626,0.0031760833333335015,0.9166350624687304,0.4707676771635585
y5,1.4511569482195399,4.181466041628444,1.0808690476190654,3.2721458333333673,0.9183219987815892,0.5160400798530973
y6,0.09870388358215477,0.2985669558491034,0.05503484848485699,0.17134750000000407,0.980967216302594,0.8626372751192294
y7,0.0046638215235053175,0.008303380706659239,0.003369945887446336,0.005767841666666518,0.9382910879866797,0.6195172859783515
mean,0.34672581618872617,0.9800864007321298,0.2610514146567629,0.7486593702380852,0.9416803967721113,0.6373556805806168
worst(test_rmse),1.4511569482195399,4.181466041628444,1.0808690476190654,3.2721458333333673,0.9166350624687304,0.4707676771635585
