variant,rf_params,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
log1p_y5_then_invert,RF_REG,1.986086666975524,3.97364785676473,1.373599795502721,3.0400353689769317,0.8470065908942812,0.5629501223449282
baseline_raw_y5,RF_REG,1.9370979481684412,4.024986161748417,1.4041283660273152,3.113039333964661,0.8544609645309565,0.5515840713660043
log1p_y5_then_invert,RF_BASELINE,1.545657059585907,4.056449543260561,1.1215993451748973,3.12080384428382,0.9073377985640283,0.5445461215374489
baseline_raw_y5,RF_BASELINE,1.4957787537787033,4.115232810518229,1.112876623376657,3.1900250000000385,0.9132217174803986,0.5312502305475877
