target,train_rmse,train_mae,train_r2,model_path
y1,0.7067781645135403,0.5661251623376176,0.9347560664574197,models\rf_y1.joblib
y2,0.1383483286878392,0.11337808441551028,0.9541791464496235,models\rf_y2.joblib
y3,0.02564204928546865,0.01939188311688372,0.9645375200467772,models\rf_y3.joblib
y4,0.0016593633321305402,0.0013185551948046894,0.9125860866637031,models\rf_y4.joblib
y5,1.4957787537787022,1.1128766233766558,0.9132217174803987,models\rf_y5.joblib
y6,0.031246360242586726,0.02055649350649863,0.9980926398638832,models\rf_y6.joblib
y7,0.004344601767348823,0.002944706168831662,0.9464494428340471,models\rf_y7.joblib
